county name,state,year,female_total_population,female_age_under_5,female_age_5_to_9,female_age_10_to_14,female_age_15_to_19,female_age_20_to_24,female_age_25_to_29,female_age_30_to_34,female_age_35_to_39,female_age_40_to_44,female_age_45_to_49,female_age_50_to_54,female_age_55_to_59,female_age_60_to_64,female_age_65_to_69,female_age_70_to_74,female_age_75_to_79,female_age_80_to_84,female_age_85_and_over,male_total_population,male_age_under_5,male_age_5_to_9,male_age_10_to_14,male_age_15_to_19,male_age_20_to_24,male_age_25_to_29,male_age_30_to_34,male_age_35_to_39,male_age_40_to_44,male_age_45_to_49,male_age_50_to_54,male_age_55_to_59,male_age_60_to_64,male_age_65_to_69,male_age_70_to_74,male_age_75_to_79,male_age_80_to_84,male_age_85_and_over
Madison County,Mississippi,2011,50448,3279,3935,3430,3380,2573,3733,2724,4288,3683,3733,3733,3178,2876,2068,908,706,504,1715,46400,3347,3859,3440,3766,2511,3301,3255,3115,2790,3533,3580,3533,1999,1348,1488,930,46,558
Kendall County,Illinois,2013,60690,4435,4921,5285,3706,3098,4313,6136,7229,4010,3463,3584,2795,2430,1154,1883,1033,365,851,58597,5391,5977,4746,4336,3692,3164,4864,4688,5215,3516,3985,3047,1875,1641,1113,879,59,410
Bulloch County,Georgia,2013,36535,2482,2555,1679,4635,5110,2956,1679,1423,2372,2044,2190,1606,1569,1241,1131,803,401,657,34611,1562,1423,2291,4930,5832,3159,2256,1458,1805,1562,2187,1493,1354,1215,937,729,69,347
Toa Alta Municipio,Puerto Rico,2013,38861,2103,1674,3543,3076,2843,2414,2687,2064,3777,2959,2920,1752,2492,2064,740,1324,195,234,36317,2181,2036,3526,3090,2799,2363,2399,2327,2945,2726,2436,1272,2472,1272,1091,1054,73,254
Liberty County,Georgia,2014,31566,3528,2048,1796,2205,3402,3528,2237,1670,1922,1607,1796,1764,1197,788,1008,693,126,252,33661,4583,2999,1685,1988,5290,3875,2729,1921,1213,1415,1516,1213,1213,1078,539,270,101,34
Fairbanks North Star Borough,Alaska,2010,46409,3627,3674,2558,3069,5069,3767,3627,3023,2651,4092,3488,2604,2232,1163,558,326,326,558,51760,4093,3316,3938,3316,5907,5285,3627,2072,4300,4093,3109,3523,2072,1658,518,622,104,207
Bastrop County,Texas,2013,37134,2337,3042,2634,2634,1929,1632,2189,2374,2411,1929,3190,2782,2485,1892,1187,816,556,1113,38767,2362,2672,3098,2285,2750,2750,1820,2169,2982,2711,3214,2440,2866,2479,503,852,116,697
Liberty County,Georgia,2012,32785,3610,3315,2035,1871,3085,3446,2396,2199,1674,2133,1772,1936,919,1083,427,361,295,230,32686,3331,2057,2906,2612,4473,3788,2384,1404,2057,1731,1633,1796,718,751,490,359,131,65
Troup County,Georgia,2010,34346,2132,2235,2475,3094,2097,1616,1788,2510,2269,2475,2544,2097,2132,1513,653,963,516,1238,32840,2953,2854,1968,2198,3149,1575,1706,2100,2296,2296,2428,2001,2034,1312,787,525,131,525
Rockwall County,Texas,2015,46980,2490,2913,4369,3946,2396,2020,2725,2537,5262,3336,3054,2631,2537,2725,1597,1409,376,658,43881,2808,3774,3423,3598,2238,1975,2940,3203,3203,3467,3423,3554,1492,2062,1053,1053,132,483
