City,State,County,Rank,Year,City_Population
Apex,NC,Wake County,9,2013,40205
Berkeley Heights,NJ,Union County,6,2013,13345
Carmel,IN,Hamilton County,1,2012,80100
Chanhassen,MN,Carver County,4,2013,23685
Chapel Hill,NC,Orange County,10,2012,59000
Columbia/Ellicott City,MD,Howard County,8,2012,100700
Eden Prairie,MN,Hennepin County,3,2012,61200
Irvine,CA,Orange County,6,2012,213600
Louisville,CO,Boulder County,2,2013,18924
Mason,OH,Warren County,7,2013,31761
McKinney,TX,Collin County,2,2012,136100
Newton,MA,Middlesex County,4,2012,84700
Overland Park,KS,Johnson County,9,2012,175300
Papillion,NE,Sarpy County,8,2013,19837
Redmond,WA,King County,5,2012,55200
Reston,VA,Fairfax County,7,2012,60300
Sharon,MA,Norfolk County,1,2013,17944
Sherwood,OR,Washington County,5,2013,18736
Vienna,VA,Fairfax County,3,2013,16285
West Goshen Township,PA,Chester County,10,2013,22421
